순서,용어명,내용
1220,"맥류 (脈流, Pulsating Current)",전기 또는 유체의 흐름의 파형 또는 유량이 주기적으로 바뀌는 것을 말한다.
1221,"맨머신인터페이스/인간-기계연결장치 (맨머신인터페이스/人間-機械連結裝置, Man-Machine Interface)","인간이 조작하는 컴퓨터 주변장치류를 통해 기계(컴퓨터)와 대화를 할 수 있도록 연결시켜 주는 장치로 인간이 좀더 컴퓨터를 쉽게 취급할 수 있도록 모든 중간 처리절차를 장치화하고 인간은 단지 필요한 문자, 소리 등을 입력하면 인간이 알기 쉽도록 표시해주는 장치를 말한다."
1222,맨홀 (Manhole),검사 또는 청소를 하기 위하여 사람이 출입할 수 있는 구멍으로서 압력용기 암거 배관 핏트 또는 수채통·정화조 등에 사람이 출입할 수 있도록 구멍을 내고 뚜껑을 덮는 구조물이다.
1223,맵 리듀스 (Map Reduce),맵리듀스(MapReduce)는 구글에서 대용량 데이터 처리를 분산 병렬 컴퓨팅에서 처리하기 위한 목적으로 제작하여 2004년 발표한 소프트웨어 프레임워크
1224,"머리 착용 디스플레이(Head Mounted Display,HMD)","머리에 착용하는 형태의 디스플레이.HMD 장치를 머리에 쓰면 양쪽 눈에 근접한 위치에 소형 디스플레이가 있어 시차를 이용한 삼차원(3D) 영상이 투영된다. 그리고 사용자의 움직임을 트랙킹하는 자이로 센서, 움직임에 따라 영상을 만드는 렌더링 기능 등으로 3D 공간에 있는 것 같은 가상 현실(VR) 또는 증강 현실(AR)을 실감할 수 있다. 최초의 HMD는 1968년 컴퓨터 그래픽스 창시자인 이반 서덜랜드(Ivan Sutherland) 교수가 만든 것으로 알려져 있다. HMD는 게임뿐만 아니라 산업, 우주 개발, 원자로, 군사 기관 및 의료 기관 등 다양한 분야에 활용된다. "
1225,먹거리테크(Food technology),"동의어: 푸드테크 최신정보기술(IT)을 활용한 음식관련 서비스를 칭하는 신조어. 빅데이터, 블루투스비콘(beacon), 온오프라인연결비즈니스(O2O) 등과 같은 최신IT를 활용하여 사용자에게 맛집추천, 식당예약,음식주문 등의 서비스를 편리하게 제공한다."
1226,"멀티미디어 전송 통합 프레임워크(Delivery Multimedia Integration Framework,DMIF)","다양한 전송 포맷을 가진 복수의 이종 네트워크 환경에서 엠펙-4(MPEG-4) 콘텐츠를 송수신하기 위한 인터페이스.공식 명칭은 MPEG-4 Part 6(ISO/IEC 14496-6)이며, 엠펙-2(MPEG-2)에서 제정한 디지털 저장 매체에 명령을 내리거나 이를 제어하는 프로토콜 디에스엠-시시(DSM-CC: Digital Storage Media - Command and Control)를 확장한 개념이다. DMIF는 애플리케이션을 위한 디에이아이(DAI: DMIF Application Interface)와 네트워크를 위한 디엔아이(DNI: DMIF Network Interface)로 구성되어 있다. "
1227,멀티콥터(Multi-Copter),"무인회전익비행장치 중 로터의 개수가 2개 이상인 기체를 뜻하며 그 수에 따라 트라이콥터(3개), 쿼드콥터(4개), 헥사콥터(6개), 옥터곱터(8개) 등으로 구분한다. 프로펠러가 1개인 헬리콥터에 비해서 비행 안정성이 뛰어나기 때문에 촬영용 기체로 다양하게 사용 중이다."
1228,멀티플렉서 (Multiplexer),"1.여러개의 회로가 단일 회선을 공동으로 이용하여 신호를 전달하는데 필요한 중규모 직접회로로. 여러개의 입력선 중에서 어느 하나를 선택하여 출력선에 실어주는 기능을 수행하는 회로를 말한다. 일반적으로 2 개의 입력선과 N개의 선택선, 그리고 1개의 출력선으로 구성된다. 2.고속의 채널을 저속의 다중 채널로 나눌 수 있는 장치로 데이터를 전송하는 속도나 방법에 영항을 주지 않고 고속 채널을 더 느린 속도의 채널로 나눔으로써 채널을 경제적으로 사용할 수 있다."
1229,메가 (Mega),100만을 나타내는 접두어로 기호는 M이다. 예 : 1MW는 106W임.
1230,메거 (Megger),"수동 발전기를 내장하고 MΩ 이상의 절연저항을 측정하는 계기로서, 전압에 따라 500V/ 1,000V가 있으며 수동식과 전자식이 있다."
1231,메인오일탱크 (Main Oil Tank),터빈 제어용 조작유 및 베어링의 윤활계통에 필요한 윤활유를 저장하는 탱크를 말한다.
1232,메인이젝터 (Main Ejector),복수기 진공도 유지를 위하여 연속적으로 항시 운전되는 공기추출기로 추출용량은 작으나 고진공을 형성시켜야 하므로 2단 또는 3단 증기 분출방식으로 되어 있다.
1233,메탄발효(Methane Fermentation),"일반적으로 대부분의 유기물은 혐기성균의 공동작용에 의하여 분해되며, 메탄과 이산화탄소를 생성하는 발효를 말한다. 제1단계는 복잡한 화합물이 간단한 화합물 특히 저급지방산으로의 분해이고 제2단계는 메탄과 이산화탄소의 분해이다. 메탄발효는 제2단계 분해를 말하며 이것에 관여하는 세균을 메탄세균이라고 총칭한다. 발효온도는 중온과 고온이 있고, 후자의 경우 전자보다 유기물의 분해속도가 빠르다. 도시발기물의 메탄 분해소화에 의한 환경오염 방지 및 에너지절약 효과를 얻을 수 있다."
1234,메탈매칭 (Metal Matching),터빈 기동시 터빈 메탈온도와 증기온도와의 차를 제한범위 내로 유지하여 과대한 열응력이 발생되지 않도록 하는 것이다.
1235,메탈페이스트(Metal Paste ),전극재로 태양전지 겉면에 얇게 씌워져 에너지 생성에서 전기를 통하게 하는 통로 역할을 함
1236,"메틸디에탄올아민(Methyldiethanolamine,MDEA)","탈황공정의 흡수제의 하나인 3차 아민으로 산성가스(CO2, H2S)중 황화수소의 선택적 흡수가 뛰어난 용매"
1237,"명령계수기 (命令計數器, Instruction Counter)",명령이 들어있는 번지를 기억하는 레지스터로 보통 한 명령어의 실행중에 다음 명령의 번지를 나타낼 수 있게 설계되어 있다.
1238,"명판 (名板, Name Plate)","기계나 장치류에 대하여 제조자, 형식, 용량 등의 중요한 제원을 기록한 금속판을 말한다."
1239,모 (Mho),어드미턴드의 실용 단위로 임피던스의 역수[Ω]
1240,"모노에탄올아민(Monoethanolamine,MEA)","탈황공정의 흡수제의 하나인 1차 아민으로 산성가스(CO2, H2S)의 흡수용으로 사용되는 용매"
1241,모델링(Modeling),CAD 등 설계 SW 또는 3D 스캐너를 통한 3차원 디지털 도면 제작하는 방식이다.
1242,모듈(Module),"모듈이란 보통 2-100개의 태양전지를 연결한 것을 말하며, 이러한 모듈을 연결하여 어레이를 제작함. 태양전지를 모듈화하기 위해서는 모듈의 광학적 성질, 전기적 성질을 만족해야 하며, 특히 내구성, 신뢰성 등이 요구됨. 모듈을 만드는데 필요한 태양전지의 수는 축전지 입력 전압*축전지 직렬 개수/태양전지 모듈의 출력 전압으로 결정함"
1243,모드 (Mode),"수동, 자동, 원격, 협조등 제어계의 특별한 운전조건을 말한다."
1244,"모바일 광개토 플랜(Mobile Gwanggaeto Plan,)","이동통신 주파수를 추가 확보하기 위한 우리나라의 모바일 광대역 계획.모바일 광개토 플랜은 2011년 방송통신위원회가 우리나라의 모바일 광대역을 위하여 2020년까지 이동통신용으로 600 메가헤르츠(MHz) 대역폭을 추가로 확보하려는 계획이다. 그러나 모바일 트래픽의 증가율이 당초 예상보다 매우 높아짐에 따라 2012년에 ''''모바일 광개토 플랜''''을 더욱 확대, 발전시켜 모바일 광개토 플랜 2.0을 수립하였다. 주요 내용으로 2023년까지 총 1,190 메가헤르츠(MHz)를 추가로 확보하는 내용으로, 단기간에 회수/재배치가 가능한 대역은 배타적으로 할당하고, 회수/재배치가 어려운 대역은 주파수 공동사용 방법으로 공급할 예정이다. "
1245,"모방반사동작 (模倣反射動作, Reflex Action of Following Example)",지도자에 의해서 작업의 동작과 방법을 지도받는 과정에서 자기 자신의 독단적인 의지와 동작으로 하지 않고 지도자의 작업지도에 따라서 이를 모방하면서 반사적으로 동작을 하는 것을 말한다. 모방반사동작에 결함이 있을 때에는 그 결함을 시정 받으면서 모방반사를 계속해 점차 원활한 올바른 동작으로 자리 잡도록 한다. 즉 지도자에 의한 기능지도과정에서 미숙자의 기증형성을 위해 일어나는 생리 기능적 반사이다.
1246,"모선 (母線, Bus/Bus Bar)","여러개의 전원 또는 부하회로가 접속되는 도체를 말하며, 대개 전류용량을 고려하여 동대나 동봉 혹은 알루미늄봉을 사용한다. 모선 구성방식은 단 모선 방식, 2중모선(복모선) 방식, 환상모선 방식으로 크게 나눌 수 있다."
1247,"모선별가격체제 (母線別價格體制, Zonal Pricing)","모선별 가격체제는 가장 이상적인 가격체계로 주파수 및 송전용량 등의 거의 모든 제약을 반영하여 가격을 결정하는 방식이다. 즉, 변압기 및 송전선로 등 계통을 구성하는 모든 설비를 반영하여 가격을 결정하는 방식이다. 다른 말로하면, 각 모선별로 시장을 개설한 것이며, 각 모선별로 가격을 결정한다. 아래 그림처럼 송전망이 구성되어 있다면, 당진발전기가 여유 용량이 있음에도 불구하고 송전선로 제약으로 인한 동서울변전소로 송전이 불가능한 경우에는 서울에 위치한 발전기가 발전을 할 수 밖에 없다. 이때 서울에 위치한 분당발전소가 운전된다면, 모선별 가격은 아래 그림과 같다. 단, 송전손실계수는 한계손실을 적용해야하나, 이해를 돕기 위해 평균손실을 적용하였다."
1248,"모선분리 (母線分離, Bus Separation)",발전소 및 변전소에서 평상시 병용하고 있는 복수의 모선을 고장 발생시에는 계통을 병행하지 않고 분리하는 것을 말하며 모선고장 파급감소 또는 구간계통이나 다회선 병용계통의 보호계전기 동작전류의 확보를 목적으로 행해진다.
1249,"모선전압조정기 (母線電壓調整器, Bus Voltage Regulator)",모선의 전압을 일정하게 유지하기 위한 장치
1250,"모세관현상 (毛細管現象, Capillarity)",가는 유리관(모세관)을 물위에 세우면 관속의 수면이 밖의 수면보다 높이 올라가고 그속의 표면은 오목하게 되며 수은속에 세우면 방대로 관속의 수은면이 밖의 수은면보다 내려가는데 이와같이 모세관 속을 액체가 올라가거나 내려가는 현상을 말한다.
1251,"모의모선 (模擬母線, Mimic Bus)",발전소나 변전소 등에서 그 발ㆍ변전소 송변전 계통의 송전상황을 조작자가 쉽게 알수 있도록 배전반 표면에 설치한 계통모선의 그림을 말한다.
1252,"모의실험/시뮬레이션 (模擬實驗/시뮬레이션, Simu- lation)","시스템을 수학적으로 표현한 후 컴퓨터를 사용하여 계산하는 방법으로 시간, 비용, 환경 등 여러가지 요인을 모델화한 다음, 이들 요인을 동적으로 변화시켜가며 모델에 대해서 평가, 이해함으로써 보다 효율적으로 시스템 설계를 할 수 있도록 하는 문제해결 기법이다."
1253,모조/더미 (模造/Dummy),"1.필요한 작업을 하는 외에 규정 조건을 만족하도록 삽입된 번지, 명령, 혹은 정보기록을 말한다. 2.공정관리(PERT)에서 사용하는 네트워크 구성 요소로서 작업착수와 완료시점 사이의 관계를 점선으로 표시하는 것이다."
1254,모터&감속기,배터리에서 발생된 전기를 토크로 변환하여 구동력을 발생하는 장치
1255,모터링 (Motoring),발전기가 계통에 연결되어 운전중 터빈으로 유입되는 증기의 양이 부족하여 터빈의 무부하 정격속도를 유지시키지 못할 때 발전기가 계통으로부터 전력을 받아 동기전동기로 운전되는 현상으로 이때 저압 터빈 배기부분 블레이드가 과열되어 손상 될 우려가 크다.
1256,모터석션펌프 (Motor Suction Pump(MSP)),기동시 전동기로 구동되어 Main Oil Pump의 흡입양정을 유지해 주는 펌프이다.
1257,"모형시험 (模型試驗, Model Test)",실물기기나 플랜트의 성능을 추정하기 위해 축소 또는 실물크기의 모형을 만들어 행하는 각종 성능시험을 말한다.
1258,목재펠릿 보일러(Wood Pellet Boiler ),저탄소 녹색성장과 화석연료 등을 대체하기 위해 목재펠릿을 연료로 사용하는 보일러
1259,목재펠릿(Wood Pellet ),유해물질에 의해 오염되지 않은 목재를 압축 성형하여 생산하는 작은 원통 모양의 표준화된 목질계 고체바이오연료
